"TOA5","CR200Series_st1","CR200X","No_SN","CR200X.Std.02","Otemma_Septembre2018_5min_upstream_s1109.cr2","8094","StageTemp"
"TIMESTAMP","RECORD","Stage_m","Temp_C"
"TS","RN","meters","deg C"
"","","Smp","Smp"
"2019-07-08 23:40:00",96,0.3951671,0.0651782
"2019-07-08 23:45:00",97,0.4078687,0.0645482
"2019-07-08 23:50:00",98,0.4156361,0.0655542
"2019-07-08 23:55:00",99,0.4249556,0.0646488
"2019-07-09 00:00:00",100,0.4248131,0.0657818
"2019-07-09 00:05:00",101,0.4419584,0.0668832
"2019-07-09 00:10:00",102,0.4163575,0.064617
"2019-07-09 00:15:00",103,0.4030122,0.0642411
"2019-07-09 00:20:00",104,0.4172092,0.0655489
"2019-07-09 00:25:00",105,0.4069766,0.066449
"2019-07-09 00:30:00",106,0.4296282,0.066036
"2019-07-09 00:35:00",107,0.4101765,0.0661631
"2019-07-09 00:40:00",108,0.4173945,0.0657554
"2019-07-09 00:45:00",109,0.420916,0.0648182
"2019-07-09 00:50:00",110,0.4071211,0.0678574
"2019-07-09 00:55:00",111,0.4076372,0.0642252
"2019-07-09 01:00:00",112,0.3870883,0.0637646
"2019-07-09 01:05:00",113,0.4003467,0.0653212
"2019-07-09 01:10:00",114,0.4010286,0.0633516
"2019-07-09 01:15:00",115,0.4113716,0.0635422
"2019-07-09 01:20:00",116,0.4230218,0.0633357
"2019-07-09 01:25:00",117,0.415419,0.0631769
"2019-07-09 01:30:00",118,0.4278519,0.0630233
"2019-07-09 01:35:00",119,0.4115784,0.0630233
"2019-07-09 01:40:00",120,0.4030208,0.0633304
"2019-07-09 01:45:00",121,0.4160722,0.0617951
"2019-07-09 01:50:00",122,0.3972864,0.062748
"2019-07-09 01:55:00",123,0.377319,0.0632351
"2019-07-09 02:00:00",124,0.4086213,0.0623774
"2019-07-09 02:05:00",125,0.4103341,0.0619168
"2019-07-09 02:10:00",126,0.4148009,0.0616892
"2019-07-09 02:15:00",127,0.4187238,0.0615568
"2019-07-09 02:20:00",128,0.4059688,0.0598839
"2019-07-09 02:25:00",129,0.4070204,0.0587774
"2019-07-09 02:30:00",130,0.3888045,0.0581474
"2019-07-09 02:35:00",131,0.3900692,0.0585021
"2019-07-09 02:40:00",132,0.407108,0.0579675
"2019-07-09 02:45:00",133,0.4034812,0.0568981
"2019-07-09 02:50:00",134,0.4043596,0.0576763
"2019-07-09 02:55:00",135,0.4085922,0.0599844
"2019-07-09 03:00:00",136,0.4017313,0.0597092
"2019-07-09 03:05:00",137,0.4123686,0.0596933
"2019-07-09 03:10:00",138,0.389087,0.0607944
"2019-07-09 03:15:00",139,0.3992524,0.0626474
"2019-07-09 03:20:00",140,0.3920102,0.0625045
"2019-07-09 03:25:00",141,0.4043355,0.064527
"2019-07-09 03:30:00",142,0.397241,0.0642887
"2019-07-09 03:35:00",143,0.3988065,0.0620756
"2019-07-09 03:40:00",144,0.4162089,0.0617951
"2019-07-09 03:45:00",145,0.4025245,0.0629016
"2019-07-09 03:50:00",146,0.3717541,0.0625098
"2019-07-09 03:55:00",147,0.3958538,0.0621604
"2019-07-09 04:00:00",148,0.4170218,0.0616045
"2019-07-09 04:05:00",149,0.3993161,0.062891
"2019-07-09 04:10:00",150,0.3931579,0.0589839
"2019-07-09 04:15:00",151,0.3954312,0.059455
"2019-07-09 04:20:00",152,0.4313946,0.0606727
"2019-07-09 04:25:00",153,0.3884696,0.0612815
"2019-07-09 04:30:00",154,0.4202898,0.0610221
"2019-07-09 04:35:00",155,0.4009097,0.0609268
"2019-07-09 04:40:00",156,0.3945947,0.0618003
"2019-07-09 04:45:00",157,0.3950283,0.0612392
"2019-07-09 04:50:00",158,0.3870354,0.0603497
"2019-07-09 04:55:00",159,0.4011979,0.0612709
