"TOA5","CR200Series","CR200X","No_SN","CR200X.Std.03","Otemma_Septembre2018_5min_2downstream_s1107.cr2","24307","StageTemp"
"TIMESTAMP","RECORD","Stage_m","Temp_C"
"TS","RN","meters","deg C"
"","","Smp","Smp"
"2019-07-19 02:20:00",98,0.417935,0.8158352
"2019-07-19 02:30:00",99,0.4025899,0.8019275
"2019-07-19 02:40:00",100,0.3975697,0.8009735
"2019-07-19 02:50:00",101,0.4010148,0.8065359
"2019-07-19 03:00:00",102,0.4092745,0.8113875
"2019-07-19 03:10:00",103,0.4113857,0.8120775
"2019-07-19 03:20:00",104,0.4229729,0.8125789
"2019-07-19 03:30:00",105,0.4065855,0.8137649
"2019-07-19 03:40:00",106,0.4039154,0.8143418
"2019-07-19 03:50:00",107,0.4212974,0.8236213
"2019-07-19 04:00:00",108,0.3789214,0.8318026
"2019-07-19 04:10:00",109,0.3914211,0.8316785
"2019-07-19 04:20:00",110,0.3928105,0.829629
"2019-07-19 04:30:00",111,0.4119611,0.8312362
"2019-07-19 04:40:00",112,0.3925998,0.8227909
"2019-07-19 04:50:00",113,0.3948393,0.8107082
"2019-07-19 05:00:00",114,0.3937123,0.7990441
"2019-07-19 05:10:00",115,0.3862575,0.7873295
"2019-07-19 05:20:00",116,0.4155479,0.7622573
"2019-07-19 05:30:00",117,0.4027947,0.7464301
"2019-07-19 05:40:00",118,0.3959596,0.7342032
"2019-07-19 05:50:00",119,0.3852766,0.7235453
"2019-07-19 06:00:00",120,0.4103162,0.7207966
"2019-07-19 06:10:00",121,0.3873755,0.7209203
"2019-07-19 06:20:00",122,0.3930829,0.7184944
"2019-07-19 06:30:00",123,0.3753178,0.7215066
"2019-07-19 06:40:00",124,0.3916473,0.726956
"2019-07-19 06:50:00",125,0.4213396,0.7374748
"2019-07-19 07:00:00",126,0.3857569,0.7495735
"2019-07-19 07:10:00",127,0.4043497,0.7523726
"2019-07-19 07:20:00",128,0.3948536,0.7591559
"2019-07-19 07:30:00",129,0.3890979,0.7621334
"2019-07-19 07:40:00",130,0.4026247,0.7657573
"2019-07-19 07:50:00",131,0.3915476,0.7730383
"2019-07-19 08:00:00",132,0.3910067,0.8273208
"2019-07-19 08:10:00",133,0.3733069,0.8892474
"2019-07-19 08:20:00",134,0.3667824,0.9596593
"2019-07-19 08:30:00",135,0.3972006,1.047655
"2019-07-19 08:40:00",136,0.3663778,1.127513
"2019-07-19 08:50:00",137,0.3703496,1.203801
"2019-07-19 09:00:00",138,0.3797328,1.331866
"2019-07-19 09:10:00",139,0.3828019,1.385839
"2019-07-19 09:20:00",140,0.386807,1.457844
"2019-07-19 09:30:00",141,0.377451,1.519071
"2019-07-19 09:40:00",142,0.3871876,1.571514
"2019-07-19 09:50:00",143,0.3808886,1.626936
"2019-07-19 10:00:00",144,0.3784593,1.678084
"2019-07-19 10:10:00",145,0.3770053,1.743752
"2019-07-19 10:20:00",146,0.381751,1.824915
"2019-07-19 10:30:00",147,0.3809109,1.926869
"2019-07-19 10:40:00",148,0.3878413,2.031458
"2019-07-19 10:50:00",149,0.3589241,2.123745
"2019-07-19 11:00:00",150,0.3743433,2.197
"2019-07-19 11:10:00",151,0.3965267,2.27178
"2019-07-19 11:20:00",152,0.3793313,2.353723
"2019-07-19 11:30:00",153,0.3878753,2.408237
"2019-07-19 11:40:00",154,0.3947996,2.491422
"2019-07-19 11:50:00",155,0.4059552,2.552188
"2019-07-19 12:00:00",156,0.4043888,2.586132
"2019-07-19 12:10:00",157,0.3960692,2.631747
"2019-07-19 12:20:00",158,0.406263,2.669457
"2019-07-19 12:30:00",159,0.3957582,2.708325
"2019-07-19 12:40:00",160,0.4198965,2.749301
"2019-07-19 12:50:00",161,0.4356995,2.805131
"2019-07-19 13:00:00",162,0.4386221,2.84398
"2019-07-19 13:10:00",163,0.4073001,2.85478
"2019-07-19 13:20:00",164,0.4384103,2.910858
"2019-07-19 13:30:00",165,0.446201,2.932216
"2019-07-19 13:40:00",166,0.4276917,2.953619
"2019-07-19 13:50:00",167,0.4334999,2.90872
"2019-07-19 14:00:00",168,0.4489266,2.942512
"2019-07-19 14:10:00",169,0.4279901,2.933126
"2019-07-19 14:20:00",170,0.471204,2.848051
"2019-07-19 14:30:00",171,0.4404811,2.862794
"2019-07-19 14:40:00",172,0.4562657,2.906195
"2019-07-19 14:50:00",173,0.4643628,2.985126
"2019-07-19 15:00:00",174,0.4781206,3.012508
"2019-07-19 15:10:00",175,0.4931008,3.02027
"2019-07-19 15:20:00",176,0.4796486,3.052216
"2019-07-19 15:30:00",177,0.4534433,3.025051
"2019-07-19 15:40:00",178,0.4830645,3.044093
"2019-07-19 15:50:00",179,0.4915829,3.033421
"2019-07-19 16:00:00",180,0.4635851,3.006418
"2019-07-19 16:10:00",181,0.486773,2.984767
"2019-07-19 16:20:00",182,0.4903874,2.977001
"2019-07-19 16:30:00",183,0.4652736,2.966929
"2019-07-19 16:40:00",184,0.5068078,2.954029
"2019-07-19 16:50:00",185,0.4975435,2.938368
"2019-07-19 17:00:00",186,0.4671341,2.944157
"2019-07-19 17:10:00",187,0.4912125,2.911524
"2019-07-19 17:20:00",188,0.5099149,2.877816
"2019-07-19 17:30:00",189,0.5067431,2.852912
"2019-07-19 17:40:00",190,0.5062128,2.789588
"2019-07-19 17:50:00",191,0.5120286,2.719449
"2019-07-19 18:00:00",192,0.4934747,2.65767
"2019-07-19 18:10:00",193,0.4897001,2.578977
"2019-07-19 18:20:00",194,0.5061371,2.529602
"2019-07-19 18:30:00",195,0.4789276,2.488278
"2019-07-19 18:40:00",196,0.497927,2.435846
"2019-07-19 18:50:00",197,0.4859007,2.337152
"2019-07-19 19:00:00",198,0.4796344,2.1776
"2019-07-19 19:10:00",199,0.5087805,2.046285
"2019-07-19 19:20:00",200,0.4697327,1.943249
"2019-07-19 19:30:00",201,0.482729,1.87311
"2019-07-19 19:40:00",202,0.4756388,1.818706
"2019-07-19 19:50:00",203,0.4618425,1.779877
"2019-07-19 20:00:00",204,0.5022141,1.728768
"2019-07-19 20:10:00",205,0.47485,1.683515
"2019-07-19 20:20:00",206,0.4621992,1.644484
"2019-07-19 20:30:00",207,0.4987815,1.594254
"2019-07-19 20:40:00",208,0.4801656,1.529524
"2019-07-19 20:50:00",209,0.4273608,1.484565
"2019-07-19 21:00:00",210,0.484268,1.46644
"2019-07-19 21:10:00",211,0.5076485,1.446955
"2019-07-19 21:20:00",212,0.4520991,1.411368
"2019-07-19 21:30:00",213,0.4803559,1.386998
"2019-07-19 21:40:00",214,0.4769883,1.365945
"2019-07-19 21:50:00",215,0.475205,1.352246
"2019-07-19 22:00:00",216,0.4841768,1.325499
"2019-07-19 22:10:00",217,0.4546944,1.29978
"2019-07-19 22:20:00",218,0.4125561,1.29529
"2019-07-19 22:30:00",219,0.45242,1.306628
"2019-07-19 22:40:00",220,0.4546032,1.263822
"2019-07-19 22:50:00",221,0.439676,1.24188
"2019-07-19 23:00:00",222,0.4252729,1.233255
"2019-07-19 23:10:00",223,0.4356342,1.221556
"2019-07-19 23:20:00",224,0.4430016,1.214303
"2019-07-19 23:30:00",225,0.4449129,1.200285
"2019-07-19 23:40:00",226,0.4489628,1.185358
"2019-07-19 23:50:00",227,0.4617634,1.175429
